     Cluster,,Occupations
7,,Musical Instrument Repairers and Tuners
7,,Watch Repairers
7,,"Coin, Vending, and Amusement Machine Servicers and Repairers"
7,,"Fabric Menders, Except Garment"
7,,Locksmiths and Safe Repairers
7,,"Helpers--Installation, Maintenance, and Repair Workers"
7,,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
7,,"Coil Winders, Tapers, and Finishers"
7,,Electrical and Electronic Equipment Assemblers
7,,Electromechanical Equipment Assemblers
7,,Engine and Other Machine Assemblers
7,,Structural Metal Fabricators and Fitters
7,,Team Assemblers
7,,Timing Device Assemblers and Adjusters
7,,Bakers
7,,Butchers and Meat Cutters
7,,"Meat, Poultry, and Fish Cutters and Trimmers"
7,,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
7,,Food Batchmakers
7,,Food Cooking Machine Operators and Tenders
7,,"Computer-Controlled Machine Tool Operators, Metal and Plastic"
7,,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"
7,,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
7,,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
7,,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
7,,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
7,,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
7,,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
7,,Machinists
7,,Foundry Mold and Coremakers
7,,"Welders, Cutters, and Welder Fitters"
7,,Solderers and Brazers
7,,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
7,,"Tool Grinders, Filers, and Sharpeners"
7,,Prepress Technicians and Workers
7,,Print Binding and Finishing Workers
7,,"Pressers, Textile, Garment, and Related Materials"
7,,Sewing Machine Operators
7,,Shoe and Leather Workers and Repairers
7,,Shoe Machine Operators and Tenders
7,,Textile Bleaching and Dyeing Machine Operators and Tenders
7,,"Textile Cutting Machine Setters, Operators, and Tenders"
7,,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
7,,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
7,,Upholsterers
7,,Cabinetmakers and Bench Carpenters
7,,Furniture Finishers
7,,"Grinding and Polishing Workers, Hand"
7,,"Cutters and Trimmers, Hand"
7,,"Cutting and Slicing Machine Setters, Operators, and Tenders"
7,,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
7,,"Inspectors, Testers, Sorters, Samplers, and Weighers"
7,,Gem and Diamond Workers
7,,Precious Metal Workers
7,,Dental Laboratory Technicians
7,,Packaging and Filling Machine Operators and Tenders
7,,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
7,,"Painters, Transportation Equipment"
7,,"Painting, Coating, and Decorating Workers"
7,,Semiconductor Processors
7,,Photographic Process Workers and Processing Machine Operators
7,,Adhesive Bonding Machine Operators and Tenders
7,,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
7,,Etchers and Engravers
7,,"Stone Cutters and Carvers, Manufacturing"
7,,Molding and Casting Workers
7,,"Paper Goods Machine Setters, Operators, and Tenders"
7,,Tire Builders
7,,Helpers--Production Workers
7,,Recycling and Reclamation Workers
7,,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
7,,"Bus Drivers, Transit and Intercity"
7,,"Bus Drivers, School or Special Client"
7,,Driver/Sales Workers
7,,Heavy and Tractor-Trailer Truck Drivers
7,,Light Truck or Delivery Services Drivers
7,,Taxi Drivers and Chauffeurs
7,,Subway and Streetcar Operators
7,,Bridge and Lock Tenders
7,,Parking Lot Attendants
7,,Traffic Technicians
7,,Aviation Inspectors
7,,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
7,,Freight and Cargo Inspectors
7,,Conveyor Operators and Tenders
7,,Dredge Operators
7,,Cleaners of Vehicles and Equipment
7,,Machine Feeders and Offbearers
7,,"Packers and Packagers, Hand"
